frame,point,x,y,z,label
0,0,0.12444004416465759,0.794530987739563,2.975104678171192e-07,‚Ì
0,1,0.17201010882854462,0.7508723139762878,-0.010836703702807426,‚Ì
0,2,0.21240642666816711,0.6927100419998169,-0.0158900897949934,‚Ì
0,3,0.2197977602481842,0.6389802098274231,-0.02227700687944889,‚Ì
0,4,0.21505561470985413,0.5917971730232239,-0.030741428956389427,‚Ì
0,5,0.17361527681350708,0.63526451587677,-0.002261740854009986,‚Ì
0,6,0.17994526028633118,0.5870047807693481,-0.01417053397744894,‚Ì
0,7,0.19014935195446014,0.5526835918426514,-0.025730155408382416,‚Ì
0,8,0.19905395805835724,0.5257021188735962,-0.032847002148628235,‚Ì
0,9,0.1402151882648468,0.6349296569824219,-0.004274321720004082,‚Ì
0,10,0.1526716947555542,0.5814964175224304,-0.020915402099490166,‚Ì
0,11,0.1652887910604477,0.6083499193191528,-0.03029223531484604,‚Ì
0,12,0.16868358850479126,0.6410731077194214,-0.03248203918337822,‚Ì
0,13,0.10877923667430878,0.6442128419876099,-0.007846783846616745,‚Ì
0,14,0.11891281604766846,0.5925620198249817,-0.025505559518933296,‚Ì
0,15,0.13219240307807922,0.6235142946243286,-0.02352631464600563,‚Ì
0,16,0.13563890755176544,0.6594082117080688,-0.017055174335837364,‚Ì
0,17,0.07564268261194229,0.6607654094696045,-0.012282533571124077,‚Ì
0,18,0.08328203856945038,0.6115264296531677,-0.026839090511202812,‚Ì
0,19,0.09937939047813416,0.6343081593513489,-0.022768307477235794,‚Ì
0,20,0.1047561839222908,0.665779173374176,-0.015412825159728527,‚Ì
1,0,0.13799349963665009,0.7376934289932251,2.664073690539226e-07,‚Ì
1,1,0.18430177867412567,0.6953085660934448,-0.01084312703460455,‚Ì
1,2,0.22132304310798645,0.6394027471542358,-0.014228954911231995,‚Ì
1,3,0.23036766052246094,0.5890669226646423,-0.01912744715809822,‚Ì
1,4,0.22376108169555664,0.5452289581298828,-0.02526293322443962,‚Ì
1,5,0.18638208508491516,0.5728162527084351,0.004502654541283846,‚Ì
1,6,0.1943572461605072,0.5257543921470642,-0.005909292958676815,‚Ì
1,7,0.2029765099287033,0.4901212453842163,-0.0161445252597332,‚Ì
1,8,0.2096388339996338,0.45927712321281433,-0.022746536880731583,‚Ì
1,9,0.1537882387638092,0.5700474977493286,0.002723151817917824,‚Ì
1,10,0.16703307628631592,0.5188403129577637,-0.015140795148909092,‚Ì
1,11,0.1792987436056137,0.5583001971244812,-0.023665443062782288,‚Ì
1,12,0.1822708547115326,0.5966593027114868,-0.023524073883891106,‚Ì
1,13,0.12166698276996613,0.5777168869972229,-0.0010028479155153036,‚Ì
1,14,0.1352948546409607,0.5333998203277588,-0.02147419936954975,‚Ì
1,15,0.14790351688861847,0.5757236480712891,-0.018590237945318222,‚Ì
1,16,0.14920668303966522,0.6143237948417664,-0.009507174603641033,‚Ì
1,17,0.08644865453243256,0.5941326022148132,-0.005541728809475899,‚Ì
1,18,0.10079039633274078,0.5526260137557983,-0.020724933594465256,‚Ì
1,19,0.11719775199890137,0.5838361382484436,-0.015154930762946606,‚Ì
1,20,0.12063360214233398,0.6177138686180115,-0.005828003864735365,‚Ì
2,0,0.14663131535053253,0.6855645775794983,2.239623313471384e-07,‚Ì
2,1,0.1928274929523468,0.6485172510147095,-0.014924398623406887,‚Ì
2,2,0.22915098071098328,0.5924156904220581,-0.01984596624970436,‚Ì
2,3,0.23734325170516968,0.5404852628707886,-0.02540632151067257,‚Ì
2,4,0.23167991638183594,0.4962346851825714,-0.03188130259513855,‚Ì
2,5,0.19970262050628662,0.5189195275306702,-0.0015271012671291828,‚Ì
2,6,0.20960041880607605,0.46484577655792236,-0.013980735093355179,‚Ì
2,7,0.2171519696712494,0.42538976669311523,-0.023620618507266045,‚Ì
2,8,0.22210003435611725,0.3896172046661377,-0.029877834022045135,‚Ì
2,9,0.16567730903625488,0.5162097215652466,-0.00234464043751359,‚Ì
2,10,0.17729711532592773,0.464679479598999,-0.024825604632496834,‚Ì
2,11,0.18691003322601318,0.514603316783905,-0.032142624258995056,‚Ì
2,12,0.1875462383031845,0.5575550198554993,-0.029819760471582413,‚Ì
2,13,0.1316678822040558,0.5249940156936646,-0.005331698339432478,‚Ì
2,14,0.1429816633462906,0.4824669361114502,-0.030865048989653587,‚Ì
